Wellenlänge,PL,Energie,PL,PL normiert
nm,w.E.,eV,w.E.,w.E.
,TDBC_NaOH_c0_1mmK_em-4,,TDBC_NaOH_c0_1mmK_em-4,TDBC_NaOH_c0_1mmK_em-4
570,617.049,2.17543859649123,161676.790403226,0.0407985539394481
571,717.405,2.17162872154116,188631.809358871,0.0476005555876623
572,836.506,2.16783216783217,220718.854116129,0.0556976054055214
573,977.635,2.16404886561955,258859.614447581,0.0653222884771816
574,1145.85,2.1602787456446,304459.737580645,0.0768293148020479
575,1342.29,2.15652173913043,357898.896169355,0.0903144934026536
576,1572.51,2.15277777777778,420742.804645161,0.106172926659038
577,1840.24,2.14904679376083,494088.115290323,0.124681350812555
578,2147.08,2.14532871972318,578471.834451613,0.145975277474674
579,2500.57,2.14162348877375,676043.215620968,0.170597062999091
580,2908.32,2.13793103448276,788999.070967742,0.199101064999925
581,3372,2.1342512908778,917948.138709677,0.231640896367123
582,3892.09,2.13058419243986,1063180.88158065,0.268289854322173
583,4488.77,2.12692967409949,1230389.95687903,0.310484460367434
584,5163.8,2.12328767123288,1420278.20387097,0.358402073452443
585,5908.09,2.11965811965812,1630561.37116935,0.411466270992389
586,6731.84,2.1160409556314,1864263.65212903,0.470440197254319
587,7624.54,2.11243611584327,2118693.64779032,0.534644687434461
588,8582.22,2.10884353741497,2392944.41264516,0.603850877110538
589,9572.64,2.10526315789474,2678185.356,0.675830398624896
590,10553.2,2.10169491525424,2962555.58064516,0.74759019741867
591,11484.4,2.09813874788494,3234905.41645161,0.816316694517215
592,12301.6,2.09459459459459,3476828.98580645,0.877365233203138
593,12960.4,2.09106239460371,3675412.66096774,0.927477106171146
594,13439.8,2.08754208754209,3824230.05870968,0.965030638831957
595,13731.3,2.08403361344538,3920341.51814516,0.989284018381353
596,13833.5,2.08053691275168,3962806.88387097,1
597,13740.3,2.07705192629816,3949327.88927419,0.996598624411491
598,13461.2,2.07357859531773,3882079.81032258,0.979628814647276
599,13015.5,2.07011686143573,3766108.39959677,0.950363848141382
600,12408.7,2.06666666666667,3602525.80645161,0.909084371765443
601,11676.9,2.06322795341098,3401377.38459677,0.85832529423544
602,10917.4,2.05980066445183,3190733.41096774,0.805170048521505
603,10164.7,2.05638474295191,2980626.1308871,0.752150235485497
604,9448.15,2.05298013245033,2779706.68580645,0.701448939417196
605,8778.54,2.0495867768595,2591262.18024194,0.653895649265333
606,8157.26,2.04620462046205,2415838.33335484,0.609628075288642
607,7584.47,2.04283360790774,2253621.2798629,0.568693187910663
608,7062.52,2.03947368421053,2105451.1236129,0.531302984301937
609,6562.64,2.03612479474548,1962869.74664516,0.4953230889535
610,6086.37,2.0327868852459,1826401.83629032,0.460885904817609
611,5638.81,2.02945990180033,1697650.15162097,0.428395882355655
612,5226.12,2.02614379084967,1578557.97522581,0.398343401908052
613,4860.28,2.02283849918434,1472856.89945161,0.371670117321713
614,4548.5,2.01954397394137,1382876.05322581,0.34896377586661
615,4283.75,2.01626016260163,1306630.11592742,0.329723389056766
616,4063.29,2.01298701298701,1243419.16954839,0.313772335111567
617,3877.54,2.0097244732577,1190432.92343548,0.300401447337913
618,3719.44,2.00647249190939,1145599.51819355,0.289087899502814
619,3583.62,2.0032310177706,1107341.47001613,0.27943361926697
620,3463.19,2,1073588.9,0.270916280167378
621,3351.99,1.99677938808374,1042471.59321774,0.263063940223963
622,3244.05,1.9935691318328,1012154.06467742,0.255413421430398
623,3147.45,1.99036918138042,985174.694395161,0.248605274812892
624,3060.71,1.98717948717949,961102.433032258,0.242530726628149
625,2976.31,1.984,937597.65625,0.236599381127079
626,2894.97,1.98083067092652,914894.567516129,0.230870338708617
627,2804.28,1.97767145135566,889067.574290323,0.224352990277906
628,2702.17,1.97452229299363,859429.52683871,0.216873936082194
629,2583.12,1.97138314785374,824184.016064516,0.207979858776119
630,2442.33,1.96825396825397,781742.562096774,0.19726991120323
631,2285.61,1.96513470681458,733903.841298387,0.185197982845304
632,2128.64,1.9620253164557,685669.276903226,0.173026164785867
633,1969.81,1.95892575039494,636517.096040323,0.160622789526033
634,1825.8,1.95583596214511,591847.794193548,0.149350652589817
635,1698.04,1.95275590551181,552171.112096774,0.139338385209778
636,1587.2,1.9496855345912,517754.88,0.130653573381866
637,1487.86,1.94662480376766,486876.987370968,0.122861648735044
638,1395.31,1.9435736677116,458026.261,0.115581272169536
639,1303.61,1.94053208137715,429267.208717742,0.108324029229106
640,1212.82,1.9375,400621.832258064,0.101095471971808
641,1121.84,1.93447737909516,371728.016967742,0.0938042220731758
642,1029.58,1.93146417445483,342222.428322581,0.0863585933787137
643,938.519,1.92846034214619,312927.211315323,0.0789660512070292
644,849.676,1.92546583850932,284186.472206452,0.0717134295297406
645,764.548,1.92248062015504,256508.936854839,0.0647291034793687
646,683.596,1.91950464396285,230060.926077419,0.0580550435131702
647,608.85,1.91653786707883,205540.394879032,0.0518673760549884
648,538.864,1.91358024691358,182476.733109677,0.0460473443337288
649,477.379,1.91063174114022,162155.251757258,0.0409192919335148
650,421.582,1.90769230769231,143643.866935484,0.0362480108531478
651,375.902,1.9047619047619,128473.90605,0.0324199260309409
652,338.611,1.90184049079755,116084.589148387,0.0292935266719313
653,308.38,1.8989280245023,106045.167274194,0.0267601148332028
654,284.808,1.8960244648318,98239.4665548387,0.0247903744577318
655,265.192,1.89312977099237,91753.2240322581,0.023153594591173
656,249.091,1.89024390243902,86445.8262709678,0.0218142919411014
657,234.171,1.88736681887367,81515.8693379032,0.0205702351203843
658,221.043,1.88449848024316,77180.3721387097,0.0194761880657979
659,209.241,1.88163884673748,73281.7667104839,0.0184923890711779
660,198.507,1.87878787878788,69733.5880645161,0.0175970190090108
661,188.409,1.87594553706505,66386.9747491936,0.0167525132298007
662,179.12,1.87311178247734,63305.0526451613,0.0159748013214622
663,170.977,1.87028657616893,60609.8297685484,0.0152946715660651
664,164.176,1.86746987951807,58374.6304,0.0147306270809185
665,157.067,1.86466165413534,56015.2855443548,0.0141352549306258
666,151.111,1.86186186186186,54053.3796096774,0.0136401750561402
667,146.894,1.85907046476762,52702.8425532258,0.0132993719092726
668,142.989,1.8562874251497,51455.7447870968,0.0129846712936043
669,138.455,1.85351270553064,49973.4340766129,0.0126106155412241
670,135.292,1.85074626865672,48977.8861290323,0.0123593926134471
671,132.4,1.84798807749627,48074.1196774194,0.0121313304145821
672,128.535,1.8452380952381,46809.9592258065,0.0118123240918774
673,125.903,1.84249628528975,45987.999908871,0.0116049056278889
674,122.879,1.83976261127596,45016.9198419355,0.0113598570813932
675,120.355,1.83703703703704,44223.1829637097,0.0111595604478489
676,117.852,1.83431952662722,43431.8835096774,0.0109598788894936
677,115.768,1.83161004431315,42790.1868322581,0.0107979490513198
678,112.84,1.82890855457227,41831.244,0.0105559632921446
679,110.456,1.82621502209131,41068.3424967742,0.010363447854077
680,107.474,1.82352941176471,40077.4012903226,0.0101133874207804
681,105.127,1.8208516886931,39317.5827798387,0.00992164996479271
682,102.151,1.81818181818182,38316.8401,0.0096691161650984
683,99.8896,1.81551976573939,37578.548076129,0.00948281084023488
684,97.5194,1.81286549707602,36794.3841987097,0.00928492991885792
685,94.3649,1.81021897810219,35708.3630665323,0.00901087640981673
686,91.9507,1.80758017492711,34896.4771106452,0.00880599992209497
687,89.2266,1.80494905385735,33961.4428833871,0.00857004741301265
688,87.0992,1.80232558139535,33248.2933264516,0.00839008669884359
689,84.3463,1.79970972423803,32291.0966792742,0.00814854158316477
690,81.6306,1.79710144927536,31342.2005322581,0.00790909106871295
691,79.0452,1.794500723589,30437.5654364516,0.00768080967062403
692,77.2064,1.79190751445087,29815.6173625806,0.00752386332120631
693,74.5616,1.78932178932179,28877.5272890322,0.00728713968035302
694,71.9943,1.78674351585014,27963.7473183871,0.00705655060613789
695,69.3493,1.7841726618705,27014.0690584677,0.00681690272832062
696,66.8519,1.7816091954023,26116.2338632258,0.00659033726057194
697,64.6174,1.77905308464849,25315.8987714516,0.00638837559167718
698,62.2145,1.77650429799427,24444.478433871,0.00616847581782562
699,59.7585,1.77396280400572,23546.8248858871,0.00594195618810624
700,57.9125,1.77142857142857,22884.7782258065,0.00577489110532988
701,55.6261,1.76890156918688,22044.1299726613,0.00556275655580976
702,53.4755,1.76638176638177,21252.3712112903,0.00536295909290701
703,51.5386,1.76386913229018,20540.9999737097,0.0051834471312023
704,49.2496,1.76136363636364,19684.5885109677,0.00496733479269102
705,47.3309,1.75886524822695,18971.4843326613,0.00478738552965505
706,45.6784,1.75637393767705,18361.0959535484,0.00463335622744574
707,43.6139,1.75388967468175,17580.9389525,0.00443648642684463
708,41.7199,1.75141242937853,16865.0677045161,0.00425583890377265
709,40.2186,1.74894217207334,16304.1339246774,0.00411428929101666
710,38.3671,1.74647887323944,15597.4637983871,0.0039359636377615
711,36.8764,1.74402250351617,15033.705326129,0.00379370122407876
712,35.0614,1.74157303370787,14334.0051303226,0.00361713440759969
713,33.4324,1.73913043478261,13706.44819,0.00345877268099706
714,32.2192,1.73669467787115,13246.1445832258,0.00334261672884919
715,30.34,1.73426573426573,12508.5213709677,0.00315648017617985
716,28.4767,1.73184357541899,11773.1863832258,0.00297092104870007
717,27.2075,1.72942817294282,11279.9003770161,0.0028464421072161
718,25.2477,1.72701949860724,10496.6091087097,0.00264878138559614
719,23.557,1.72461752433936,9821.00828790323,0.00247829595933018
720,22.2044,1.72222222222222,9282.87174193548,0.00234249914617786
721,20.4538,1.71983356449376,8574.777295,0.0021638140707538
