Wellenlänge,PL,Energie,PL,PL normiert
nm,w.E.,eV,w.E.,w.E.
,TDBC_NaOH_c1_1mmK_em-3,,TDBC_NaOH_c1_1mmK_em-3,TDBC_NaOH_c1_1mmK_em-3
570,438.056,2.17543859649123,114777.737419355,0.0388074223913614
571,521.349,2.17162872154116,137081.572023387,0.0463485566730326
572,621.066,2.16783216783217,163873.272696774,0.0554070802856415
573,739.892,2.16404886561955,195909.677796774,0.0662388873291459
574,879.839,2.1602787456446,233778.898680645,0.079042823732795
575,1044.46,2.15652173913043,278487.570564516,0.0941592422418567
576,1245.12,2.15277777777778,333145.913806452,0.112639737336928
577,1474.05,2.14904679376083,395769.34875,0.133813304146082
578,1738.96,2.14532871972318,468515.09083871,0.158409317309289
579,2036.55,2.14162348877375,550592.789153226,0.186160551817115
580,2376.34,2.13793103448276,644678.04516129,0.217971653454049
581,2755.04,2.1342512908778,749995.207612903,0.253580367305818
582,3181.65,2.13058419243986,869113.882741935,0.293855501180797
583,3663.1,2.12692967409949,1004070.48056452,0.339485584278417
584,4206.14,2.12328767123288,1156878.45470968,0.391151384029751
585,4805.17,2.11965811965812,1326168.79294355,0.448390024643609
586,5467.06,2.1160409556314,1514005.27077419,0.511899287847209
587,6197.21,2.11243611584327,1722069.71975,0.582247816556474
588,7014.23,2.10884353741497,1955748.3363871,0.66125673399603
589,7894.41,2.10526315789474,2208658.55775,0.746768036171846
590,8803.72,2.10169491525424,2471431.39677419,0.835613981267724
591,9624.88,2.09813874788494,2711119.122,0.916654634307239
592,10210,2.09459459459459,2885675.35483871,0.975673722948677
593,10429.3,2.09106239460371,2957623.3191129,1
594,10209.5,2.08754208754209,2905063.82419355,0.982229145077501
595,9592.7,2.08403361344538,2738754.53024194,0.925998423309492
596,8693.29,2.08053691275168,2490319.11341935,0.842000094239956
597,7668.89,2.07705192629816,2204243.07742742,0.745275121136302
598,6652.97,2.07357859531773,1918652.16441935,0.648714172633325
599,5728.16,2.07011686143573,1657475.4323871,0.56040788618215
600,4915.87,2.06666666666667,1427188.06451613,0.482545581546264
601,4232.4,2.06322795341098,1232860.57451613,0.416841646652255
602,3682.17,2.05980066445183,1076155.7553871,0.363858287305455
603,3241.02,2.05638474295191,950374.226758064,0.32133038058515
604,2883.82,2.05298013245033,848438.449290323,0.28686494450037
605,2598.73,2.0495867768595,767096.89375,0.259362606723049
606,2364.01,2.04620462046205,700120.626096774,0.236717306619954
607,2167.81,2.04283360790774,644135.021524193,0.217788052103062
608,2000.95,2.03947368421053,596515.468387097,0.201687437521967
609,1851.04,2.03612479474548,553641.585677419,0.187191378327202
610,1711.86,2.0327868852459,513696.053225807,0.173685421637764
611,1589.8,2.02945990180033,478633.64983871,0.161830496380543
612,1479.67,2.02614379084967,446936.710064516,0.15111346572645
613,1383.51,2.02283849918434,419258.200959677,0.141755103920883
614,1302.95,2.01954397394137,396134.627580645,0.133936808321981
615,1234.94,2.01626016260163,376681.597983871,0.127359557773859
616,1181.18,2.01298701298701,361456.321032258,0.12221174978451
617,1137.21,2.0097244732577,349131.723943548,0.118044688682082
618,1100.95,2.00647249190939,339096.151451613,0.11465156812238
619,1070.32,2.0032310177706,330729.74316129,0.111822807530638
620,1042.42,2,323150.2,0.109260093370147
621,1017.37,1.99677938808374,316402.890459677,0.106978765150722
622,995.428,1.9935691318328,310576.747058065,0.105008891785184
623,973.219,1.99036918138042,304624.61068629,0.102996419022575
624,954.968,1.98717948717949,299872.274167742,0.101389609768726
625,936.507,1.984,295018.586189516,0.0997485326420819
626,917.64,1.98083067092652,290000.88116129,0.0980519998227063
627,898.897,1.97767145135566,284985.869929839,0.0963563778011177
628,873.856,1.97452229299363,277931.310245161,0.0939711654452747
629,843.098,1.97138314785374,269003.335337097,0.0909525339480284
630,802.58,1.96825396825397,256890.324193548,0.0868570120249792
631,758.457,1.96513470681458,243538.707723387,0.0823427061010707
632,711.124,1.9620253164557,229064.510141935,0.0774488450444867
633,662.608,1.95892575039494,214112.691058064,0.0723934957079945
634,617.768,1.95583596214511,200254.4792,0.0677079051635499
635,577.988,1.95275590551181,187950.976854839,0.0635479763904526
636,544.556,1.9496855345912,177637.680464516,0.0600609547931871
637,514.789,1.94662480376766,168455.982049194,0.0569565370142265
638,485.049,1.9435736677116,159222.810609677,0.0538347157262183
639,455.869,1.94053208137715,150113.617700806,0.0507548127345138
640,427.079,1.9375,141073.837419355,0.0476983787988485
641,396.839,1.93447737909516,131494.842870161,0.0444596314954675
642,366.584,1.93146417445483,121848.974012903,0.0411982733654704
643,335.773,1.92846034214619,111955.654094355,0.0378532497261803
644,306.084,1.92546583850932,102374.236954839,0.0346136833224403
645,275.948,1.92248062015504,92581.6666935484,0.0313027240809411
646,248.009,1.91950464396285,83466.2289064516,0.0282207096377256
