Wellenlänge,PL,Energie,PL,PL normiert
nm,w.E.,eV,w.E.,w.E.
,TDBC_NaOH_c4_em-2,,TDBC_NaOH_c4_em-2,TDBC_NaOH_c4_em-2
570,272.063,2.17543859649123,71284.8941129032,0.019567043561087
571,309.817,2.17162872154116,81462.132658871,0.0223606013328797
572,358.762,2.16783216783217,94662.2469419355,0.0259839105122266
573,421.91,2.16404886561955,111713.94225,0.0306644430294641
574,510.275,2.1602787456446,135583.359596774,0.0372163771357611
575,616.993,2.15652173913043,164510.734375,0.0451566737362856
576,777.51,2.15277777777778,208031.57883871,0.0571027426760521
577,991.279,2.14904679376083,266149.617895968,0.0730556064078435
578,1275.97,2.14532871972318,343775.130225806,0.0943630909753868
579,1641.42,2.14162348877375,443767.163080645,0.121809978383726
580,2208.93,2.13793103448276,599261.332258065,0.164491688438183
581,2965.74,2.1342512908778,807353.354951613,0.221611022392869
582,4031.37,2.13058419243986,1101227.2353871,0.30227668222873
583,5496.9,2.12692967409949,1506722.45491935,0.413581366385706
584,7367.42,2.12328767123288,2026373.22219355,0.556220691678131
585,9452.2,2.11965811965812,2608692.85887097,0.716062041506003
586,11442.6,2.1160409556314,3168825.05612903,0.869813144598854
587,12812.1,2.11243611584327,3560203.61685484,0.977242936589121
588,13065.9,2.10884353741497,3643110.10451613,1
589,12151.5,2.10526315789474,3399685.9125,0.933182312630527
590,10343,2.10169491525424,2903547.01612903,0.796996778255396
591,8034.47,2.09813874788494,2263135.25489516,0.621209677986317
592,5783.53,2.09459459459459,1634612.14348387,0.448685902042199
593,4045.01,2.09106239460371,1147115.90442742,0.314872697096202
594,2881.91,2.08754208754209,820033.545774194,0.225091617395162
595,2136.93,2.08403361344538,610102.131653226,0.167467387520603
596,1641.32,2.08053691275168,470179.939612903,0.129060041042968
597,1295.78,2.07705192629816,372441.656467742,0.102231787067333
598,1072.01,2.07357859531773,309157.309709677,0.0848608196953573
599,908.772,2.07011686143573,262958.308364516,0.0721796214829037
600,771.793,2.06666666666667,224068.935483871,0.0615048486198941
601,678,2.06322795341098,197495.385483871,0.0542106551320117
602,594.626,2.05980066445183,173786.162019355,0.0477026927635054
603,544.418,2.05638474295191,159641.358517742,0.0438200751385046
604,497.216,2.05298013245033,146284.155045161,0.0401536464307851
605,464.961,2.0495867768595,137247.862923387,0.0376732678908743
606,425.944,2.04620462046205,126146.750632258,0.0346261153281868
607,411.588,2.04283360790774,122297.73146129,0.0335695951955132
608,390.12,2.03947368421053,116301.064258065,0.0319235655584204
609,362.151,2.03612479474548,108318.487928226,0.0297324222493167
610,350.886,2.0327868852459,105294.097258065,0.0289022550066599
611,330.527,2.02945990180033,99510.2178766129,0.0273146336569011
612,314.238,2.02614379084967,94916.0947354839,0.026053589381727
613,301.794,2.02283849918434,91455.5077306452,0.0251036902830012
614,285.028,2.01954397394137,86656.7870064516,0.0237864858652031
615,278.874,2.01626016260163,85062.1924596774,0.0233487844230212
616,263.157,2.01298701298701,80529.4375741935,0.0221045851659455
617,260.782,2.0097244732577,80061.9667725806,0.0219762687582055
618,259.724,2.00647249190939,79995.8298193548,0.0219581147767643
619,255.178,2.0032310177706,78850.2077887097,0.0216436521341927
620,247.798,2,76817.38,0.0210856597237548
621,242.42,1.99677938808374,75392.8155,0.0206946299554714
622,244.649,1.9935691318328,76331.2771903226,0.0209522290022746
623,239.251,1.99036918138042,74887.2994991935,0.0205558704927311
624,244.606,1.98717948717949,76809.4402064516,0.0210834803239232
625,231.369,1.984,72885.8996975807,0.0200065047738274
626,234.09,1.98083067092652,73979.2361612903,0.0203066155122743
627,231.185,1.97767145135566,73294.7805362903,0.0201187387791084
628,222.153,1.97452229299363,70656.1199612903,0.0193944508769314
629,218.303,1.97138314785374,69652.9171153226,0.0191190809822021
630,209.347,1.96825396825397,67007.9228225806,0.0183930545331351
631,209.839,1.96513470681458,67378.795225,0.0184948555744925
632,203.874,1.9620253164557,65671.1036903226,0.0180261100560519
633,188.941,1.95892575039494,61053.6938298387,0.0167586737919764
634,183.401,1.95583596214511,59450.9131903226,0.0163187253431141
635,172.936,1.95275590551181,56235.579516129,0.0154361460133795
636,167.21,1.9496855345912,54544.9807741936,0.0149720923083213
637,162.407,1.94662480376766,53144.940308871,0.0145877941605417
638,158.651,1.9435736677116,52078.9819709678,0.0142951984641938
639,152.135,1.94053208137715,50096.7059153226,0.0137510820365327
640,146.759,1.9375,48477.8116129032,0.0133067105363652
641,145.219,1.93447737909516,48119.1354346774,0.0132082572456504
642,141.167,1.93146417445483,46922.5446677419,0.0128798041567767
643,137.012,1.92846034214619,45683.4470870968,0.0125396833410184
644,128.684,1.92546583850932,43040.2317935484,0.0118141452107621
645,125.583,1.92248062015504,42133.6028830645,0.0115652839673537
646,112.327,1.91950464396285,37803.1083322581,0.0103766032998553
647,113.797,1.91653786707883,38416.4906233871,0.010544971060788
648,106.935,1.91358024691358,36211.640516129,0.00993976011629179
649,104.361,1.91063174114022,35449.1593233871,0.00973046608705102
650,99.6174,1.90769230769231,33942.2189516129,0.00931682490450588
651,96.151,1.9047619047619,32862.008025,0.00902031700449105
652,97.1854,1.90184049079755,33317.6631303226,0.0091453901129754
653,98.5995,1.8989280245023,33906.2211254032,0.00930694383443747
654,93.344,1.8960244648318,32197.3566967742,0.00883787636746449
655,90.1078,1.89312977099237,31176.2087862903,0.00855758071864015
656,84.5664,1.89024390243902,29348.3599277419,0.00805585312707422
657,95.4617,1.88736681887367,33230.6026962097,0.00912149282971597
658,90.7108,1.88449848024316,31672.9925896774,0.00869394327402141
659,88.9767,1.88163884673748,31162.0082683065,0.00855368280790551
660,97.1288,1.87878787878788,34120.407483871,0.00936573600714788
661,91.6682,1.87594553706505,32299.8077517742,0.0088659982336889
662,94.7111,1.87311178247734,33473.0413777419,0.00918804000358034
663,92.7202,1.87028657616893,32868.4883820968,0.00902209580252648
664,91.7309,1.86746987951807,32615.9571664516,0.0089527783214731
665,99.6114,1.86466165413534,35524.7188427419,0.0097512064756715
666,100.694,1.86186186186186,36018.8934387097,0.00988685282776916
667,91.9918,1.85907046476762,33004.9515404839,0.00905955367628603
668,96.4016,1.8562874251497,34690.8931922581,0.00952232905320484
669,95.9694,1.85351270553064,34638.8392204839,0.00950804071980815
670,95.1407,1.85074626865672,34442.4679274194,0.0094541386176397
671,95.2747,1.84798807749627,34594.0130666935,0.00949573635554127
672,90.8315,1.8452380952381,33079.0742709677,0.00907989967966155
673,97.0409,1.84249628528975,35445.6756420161,0.00972950984876257
674,99.4879,1.83976261127596,36447.5526293548,0.0100045158075714
675,94.5827,1.83703703703704,34753.4215221774,0.00953949250095292
676,100.255,1.83431952662722,36946.8781290323,0.0101415760350563
677,102.485,1.83161004431315,37880.5222298387,0.010397852698133
678,101.881,1.82890855457227,37768.6012935484,0.0103671314371556
679,118.614,1.82621502209131,44101.5461080645,0.0121054661656793
680,104.359,1.82352941176471,38915.8077419355,0.0106820289877306
681,100.805,1.8208516886931,37701.1512943548,0.0103486170367509
682,106.099,1.81818181818182,39797.7349,0.0109241098287601
683,116.274,1.81551976573939,43742.3725693548,0.0120068763541157
684,106.542,1.81286549707602,40198.640283871,0.0110341546455155
685,113.59,1.81021897810219,42983.2804435484,0.0117985125923767
686,126.657,1.80758017492711,48067.965783871,0.0131942116501734
687,117.1,1.80494905385735,44570.6208870968,0.0122342228503732
688,122.71,1.80232558139535,46841.9695483871,0.0128576870323848
689,127.664,1.79970972423803,48874.8239870968,0.013415686758001
690,124.246,1.79710144927536,47704.4520967742,0.0130944305080536
691,125.21,1.794500723589,48214.0290403226,0.013234304661985
692,117.653,1.79190751445087,45435.3114451613,0.0124715724042592
693,123.894,1.78932178932179,47983.8464564516,0.0131711216734759
694,122.46,1.78674351585014,47565.4391612903,0.0130562727440838
695,129.398,1.7841726618705,50405.2168951613,0.0138357654446615
696,128.817,1.7816091954023,50323.3998967742,0.0138133074359711
697,123.609,1.77905308464849,48427.7134524194,0.013292959055063
698,129.256,1.77650429799427,50785.5163096774,0.0139401541135751
699,129.525,1.77396280400572,51037.1326814516,0.0140092204784544
700,134.746,1.77142857142857,53246.4032258065,0.0146156447920145
701,138.298,1.76890156918688,54806.2705629032,0.0150438139366042
702,136.696,1.76638176638177,54326.077083871,0.0149120052716843
703,136.86,1.76386913229018,54546.3255967742,0.0149724614496709
704,147.134,1.76136363636364,58808.0359225806,0.0161422614841314
705,143.673,1.75886524822695,57587.9619556452,0.0158073624742379
706,149.636,1.75637393767705,60148.3623354839,0.0165101686772853
707,159.046,1.75388967468175,64112.0839145161,0.0175981735591907
708,150.828,1.75141242937853,60971.4891870968,0.016736109378499
709,143.843,1.74894217207334,58312.2121637097,0.0160061624520828
710,145.258,1.74647887323944,59052.0627419355,0.0162092445871269
711,156.181,1.74402250351617,63671.5929846774,0.0174772628765043
712,149.901,1.74157303370787,61283.3972129032,0.0168217252443
713,147.678,1.73913043478261,60544.28805,0.0166188466208988
714,152.306,1.73669467787115,62616.9270774194,0.0171877668478362
715,159.332,1.73426573426573,65689.1142741936,0.0180310537946034
716,157.675,1.73184357541899,65187.9312903226,0.0178934837049018
717,164.808,1.72942817294282,68327.4031548387,0.0187552396701208
718,167.278,1.72701949860724,69545.0190903226,0.0190894639731344
719,172.403,1.72461752433936,71875.5058733871,0.0197291610221409
720,175.031,1.72222222222222,73174.2503225806,0.0200856543511741
721,178.462,1.71983356449376,74816.0197919355,0.0205363048729136
722,175.599,1.71745152354571,73820.1202548387,0.0202629396688639
723,167.073,1.71507607192254,70430.5663040323,0.0193325384859283
724,169.849,1.71270718232044,71799.0076,0.0197081629542284
725,178.008,1.71034482758621,75456.0120967742,0.0207119768362851
726,185.056,1.70798898071625,78660.1421419355,0.0215914808735606
727,186.826,1.70563961485557,79631.4185112903,0.021858087245998
728,188.048,1.7032967032967,80372.9284129032,0.0220616248499517
729,182.769,1.70096021947874,78331.4033298387,0.0215012451127229
730,192.309,1.6986301369863,82646.3436290323,0.0226856562821368
731,204.262,1.69630642954856,88023.908533871,0.0241617480692536
732,197.013,1.69398907103825,85132.4949290322,0.0233680818000804
733,206.338,1.69167803547067,89405.7561951613,0.0245410524607342
734,206.329,1.68937329700272,89645.9570354839,0.0246069853679019
735,208.072,1.68707482993197,90649.755,0.0248825186171638
736,218.249,1.68478260869565,95342.4276645161,0.0261706138242504
737,215.093,1.68249660786974,94219.233642742,0.0258623074625015
738,217.22,1.68021680216802,95409.3303870968,0.0261889780022909
739,220.866,1.67794316644114,97273.8393435484,0.0267007684513746
740,232.394,1.67567567567568,102628.189032258,0.0281704878765636
741,232.46,1.67341430499325,102934.975209677,0.0282546978423945
742,262.018,1.6711590296496,116336.837219355,0.03193338490515
743,253.716,1.66890982503365,112954.567809677,0.0310049832613225
744,269.614,1.66666666666667,120355.6896,0.0330365226817611
745,249.887,1.66442953020134,111849.622721774,0.0307016860629937
746,258.658,1.66219839142091,116086.544780645,0.0318646819476414
747,253.082,1.65997322623829,113888.736885484,0.0312614040251771
748,253.339,1.65775401069519,114309.825690323,0.0313769890041534
749,279.242,1.65554072096128,126334.710679032,0.0346777086211101
750,259.487,1.65333333333333,117710.836693548,0.032310535041922
