TK_NaOH_abs,,
Wavelength (nm),Abs,
942,0.06703845412,
941,0.06356567889,
940,0.06010770053,
939,0.05683421344,
938,0.05376052484,
937,0.05076807737,
936,0.04790642858,
935,0.04487155378,
934,0.04239168391,
933,0.03987915441,
932,0.03733021766,
931,0.03488730639,
930,0.0327231437,
929,0.03062853776,
928,0.02879034169,
927,0.02673676237,
926,0.02506650425,
925,0.02340641618,
924,0.02204795554,
923,0.02044883184,
922,0.01927587017,
921,0.01800441556,
920,0.01710453816,
919,0.01593274623,
918,0.01509315893,
917,0.01414114516,
916,0.01356134843,
915,0.01286229398,
914,0.01227597333,
913,0.01144381706,
912,0.01105673425,
911,0.01061142236,
910,0.01011521369,
909,0.009453452192,
908,0.009369436651,
907,0.008907777257,
906,0.008539367467,
905,0.008174462244,
904,0.007883558981,
903,0.007441039663,
902,0.007208736613,
901,0.006825750228,
900,0.006668555085,
899,0.006245023105,
898,0.006039921194,
897,0.005705644377,
896,0.005328749772,
895,0.005099721253,
894,0.004776217043,
893,0.004634726793,
892,0.004294783808,
891,0.003913704772,
890,0.003661716823,
889,0.003404344199,
888,0.00310991751,
887,0.002767154016,
886,0.002600144362,
885,0.002291741082,
884,0.00179745676,
883,0.001565580256,
882,0.00129815226,
881,0.0009568408714,
880,0.0007089219289,
879,0.0004198662064,
878,-3.789540278E-5,
877,-0.0003500442836,
876,-0.0004782128672,
875,-0.0007808984374,
874,-0.001093495172,
873,-0.001523819054,
872,-0.001613629051,
871,-0.001971961698,
870,-0.002010870725,
869,-0.002333706478,
868,-0.002612150973,
867,-0.002845774638,
866,-0.003138128901,
865,-0.003388216719,
864,-0.003493049415,
863,-0.00370310084,
862,-0.003978617024,
861,-0.004241346382,
860,-0.004493208136,
859,-0.00470728334,
858,-0.005024334881,
857,-0.005118898582,
856,-0.005428440869,
855,-0.005716047715,
854,-0.006125687156,
853,-0.006399211939,
852,-0.006514285691,
851,-0.006744749844,
850,-0.007318339776,
849,-0.007553210948,
848,-0.007843176834,
847,-0.008068617433,
846,-0.008353567682,
845,-0.008671826683,
844,-0.009045174345,
843,-0.009485981427,
842,-0.009837019257,
841,-0.01037737541,
840,-0.0104806358,
839,-0.01123435516,
838,-0.01159885339,
837,-0.01218771841,
836,-0.01245604455,
835,-0.01317314804,
834,-0.01382884383,
833,-0.0142135201,
832,-0.01480926014,
831,-0.01533862203,
830,-0.01605677232,
829,-0.0162430834,
828,-0.01700629108,
827,-0.01731752791,
826,-0.01801086217,
825,-0.01831304096,
824,-0.01893743686,
823,-0.01952119358,
822,-0.01951307617,
821,-0.02038187347,
820,-0.02071760222,
819,-0.02087621763,
818,-0.02151669934,
817,-0.02153251506,
816,-0.02214438282,
815,-0.02233886905,
814,-0.02247280441,
813,-0.02245166339,
812,-0.02249325439,
811,-0.02308104187,
810,-0.02273696475,
809,-0.02285957895,
808,-0.02291080542,
807,-0.02301574312,
806,-0.02289292775,
805,-0.02274182811,
804,-0.02271289006,
803,-0.02270065434,
802,-0.02259495296,
801,-0.02230080403,
800,-0.02252388,
799,-0.01458604168,
798,-0.01440973673,
797,-0.01460971963,
796,-0.01439646538,
795,-0.01403200161,
794,-0.01392426807,
793,-0.01405591145,
792,-0.01414918061,
791,-0.01385321654,
790,-0.01349426899,
789,-0.01373575721,
788,-0.01323944051,
787,-0.01357431151,
786,-0.01319444273,
