200427_base.csv;leer;Patrick;27.04.2020 17:46:12;Lambda 19 UV/Vis/NIR;XXX;Rev. 9B/9C
nm;A
826;-0,000135
827;-0,00022
828;0,00018
829;-0,000073
830;-0,000418
831;0,00021
832;0,000145
833;-0,000681
834;-0,00035
835;-0,00026
836;0,000123
837;-0,000641
838;-0,000293
839;-0,000884
840;0,000052
841;-0,000301
842;0,000482
843;-0,000307
844;-0,000195
845;-0,000133
846;-0,000919
847;-0,00023
848;-0,000516
849;-0,001074
850;-0,000755
851;0,00016
852;-0,00082
853;-0,000549
854;-0,001099
855;-0,000124
856;0,000298
857;-0,000722
858;-0,000755
859;0,001681
860;0,000256
861;-0,001051
862;0,00106
863;0,000745
864;-0,000768
865;-0,000371
866;-0,001257
867;-0,001497
868;-0,00041
869;-0,00026
870;0,000207
871;0,001429
872;0,001251
873;0,001773
874;-0,000641
875;0,000487
876;0,000202
877;0,000213
878;0,002356
879;0,000143
880;-0,002091
881;0,000327
882;-0,000968
883;-0,003796
884;-0,004451
885;0,001685
886;-0,001567
887;0,002122
888;0,001092
889;-0,003078
890;0,000235
891;0,000987
892;-0,003753
893;-0,001049
894;-0,003566
895;0,002948
896;-0,00155
897;0,002753
898;0,00163
899;0,001027
900;0,001796
901;0,000791
902;0,001812
903;0,001044
904;0,001492
905;0,001469
906;0,001747
907;0,000798
908;0,001468
909;0,000709
910;0,001221
911;0,001146
912;0,001309
913;0,000919
914;0,000706
915;-0,000177
916;0,000883
917;0,000128
918;0,000866
919;0,000551
920;0,000016
921;-0,000222
922;-0,000307
923;-0,000871
924;0,000289
925;-0,000112
926;-0,000407
927;-0,000543
928;-0,001274
929;-0,001508
930;-0,000747
931;-0,000849
932;-0,000643
933;-0,000811
934;-0,001615
935;-0,00161
936;-0,002114
937;-0,001158
938;-0,000547
939;-0,000761
940;-0,001836
941;-0,001379
942;-0,002427
943;-0,001199
944;-0,000799
945;-0,000589
946;-0,000793
947;-0,00112
948;-0,002211
949;-0,000564
950;-0,000925
951;0,000214
952;-0,00049
953;-0,000079
954;-0,001071
955;-0,000135
956;-0,000849
957;0,000541
958;0,000457
959;0,000622
960;0,000023
961;0,000329
962;0,000032
963;0,000971
964;0,000434
965;0,001219
966;0,001478
967;0,000731
968;0,000689
969;0,001152
970;0,000764
971;0,002084
972;0,001089
973;0,001233
974;0,001423
975;0,001226
976;0,00125
977;0,001872
978;0,001186
979;0,001721
980;0,00145
981;0,001156
982;0,001401
983;0,001543
984;0,001204
985;0,001355
986;0,00079
987;0,00099
988;0,001561
989;0,001163
990;0,00137
991;0,000989
992;0,000612
993;0,000774
994;0,000352
995;0,000646
996;0,001226
997;0,000185
998;0,00022
999;-0,000064
1000;-0,00014
1001;0,00019
1002;0,000197
1003;-0,000191
1004;0,000056
1005;-0,000662
1006;-0,000807
1007;-0,000718
1008;-0,000881
1009;-0,000313
1010;-0,000233
1011;-0,001256
1012;-0,00113
1013;-0,001701
1014;-0,001494
1015;-0,00056
1016;-0,000676
1017;-0,000989
1018;-0,000917
1019;-0,002519
1020;-0,00154
1021;-0,001063
1022;-0,000825
1023;-0,000727
1024;-0,001043
1025;-0,002007
1026;-0,001261
1027;-0,001527
1028;-0,000722
1029;-0,000271
1030;-0,000695
1031;-0,001287
1032;-0,000741
1033;-0,00114
1034;-0,000164
1035;-0,000135
1036;0,000031
