Wellenlänge,Absorption,Absorption,Energie,Absorption,Extinktionskoeffizient,Parameter
nm,OD,OD,eV,OD,l/(mol*cm),
,TDBC_NaOH_c3_abs,TDBC_NaOH_c3_abs,,TDBC_NaOH_c3_abs,TDBC_NaOH_c3_abs,"1: M in g/mol  2: c in g/l 3: d in cm  "
1200,-5.259710088E-5,0,1.03333333333333,0,0,762.53
1199,-7.920384087E-5,-2.660673999E-5,1.03419516263553,-2.660673999E-5,-12.2613789028924,0.00381
1198,-1.563231053E-4,-1.0372600442E-4,1.03505843071786,-1.0372600442E-4,-47.8008144836503,1
1197,4.338705185E-5,9.598415273E-5,1.0359231411863,9.598415273E-5,44.2330802547757,
1196,-1.061311741E-5,4.198398347E-5,1.03678929765886,4.198398347E-5,19.3477866650299,
1195,-4.64369441E-5,6.16015678E-6,1.03765690376569,6.16015678E-6,2.83883017645866,
1194,-4.798993541E-5,4.60716547000001E-6,1.03852596314908,4.60716547000001E-6,2.12315381430509,
1193,-4.633341086E-5,6.26369002E-6,1.03939647946354,6.26369002E-6,2.88654215790251,
1192,-1.599458337E-4,-1.0734873282E-4,1.04026845637584,-1.0734873282E-4,-49.4703029512853,
1191,-6.781594129E-5,-1.521884041E-5,1.04114189756507,-1.521884041E-5,-7.01340971497425,
1190,-1.299798751E-4,-7.738277422E-5,1.04201680672269,-7.738277422E-5,-35.6608707276803,
1189,-2.000524546E-4,-1.4745535372E-4,1.04289318755257,-1.4745535372E-4,-67.9529308701656,
1188,-2.536601678E-4,-2.0106306692E-4,1.04377104377104,-2.0106306692E-4,-92.6573660587617,
1187,-1.872187422E-4,-1.3462164132E-4,1.04465037910699,-1.3462164132E-4,-62.0386771687993,
1186,-1.968440629E-4,-1.4424696202E-4,1.04553119730186,-1.4424696202E-4,-66.4743842193027,
1185,-2.055377117E-4,-1.5294061082E-4,1.0464135021097,-1.5294061082E-4,-70.4807420829695,
1184,-1.147632211E-4,-6.216612022E-5,1.0472972972973,-6.216612022E-5,-28.6484685920434,
1183,-2.186813654E-4,-1.6608426452E-4,1.04818258664413,-1.6608426452E-4,-76.5378283041553,
1182,-1.464381203E-4,-9.384101942E-5,1.04906937394247,-9.384101942E-5,-43.2454444315521,
1181,-1.303939353E-4,-7.779683442E-5,1.04995766299746,-7.779683442E-5,-35.8516851229318,
1180,-1.364493946E-4,-8.385229372E-5,1.05084745762712,-8.385229372E-5,-38.6422667926986,
1179,-2.512800565E-4,-1.9868295562E-4,1.05173876166243,-1.9868295562E-4,-91.5605219323741,
1178,-1.672946673E-4,-1.1469756642E-4,1.05263157894737,-1.1469756642E-4,-52.856919774608,
1177,-2.513835207E-4,-1.9878641982E-4,1.053525913339,-1.9878641982E-4,-91.6082020976089,
1176,-2.079180849E-4,-1.5532098402E-4,1.05442176870748,-1.5532098402E-4,-71.5777069026528,
1175,-1.072064479E-4,-5.460934702E-5,1.05531914893617,-5.460934702E-5,-25.1660254395471,
1174,-7.878973702E-5,-2.619263614E-5,1.05621805792164,-2.619263614E-5,-12.0705443920915,
1173,-2.34360079E-4,-1.8176297812E-4,1.05711849957374,-1.8176297812E-4,-83.7631647501756,
1172,-9.659569332E-5,-4.399859244E-5,1.0580204778157,-4.399859244E-5,-20.2761936751191,
1171,-2.005181886E-4,-1.4792108772E-4,1.05892399658412,-1.4792108772E-4,-68.1675584812185,
1170,-1.720558357E-4,-1.1945873482E-4,1.05982905982906,-1.1945873482E-4,-55.051043887326,
1169,-1.528556313E-4,-1.0025853042E-4,1.06073567151411,-1.0025853042E-4,-46.2028730385161,
1168,-1.800772297E-4,-1.2748012882E-4,1.06164383561644,-1.2748012882E-4,-58.7476016467641,
1167,-3.604936646E-4,-3.0789656372E-4,1.06255355612682,-3.0789656372E-4,-141.89022902048,
1166,-2.758567862E-4,-2.2325968532E-4,1.06346483704974,-2.2325968532E-4,-102.886396322056,
1165,-2.410350135E-4,-1.8843791262E-4,1.06437768240343,-1.8843791262E-4,-86.8392237144549,
1164,-2.076076053E-4,-1.5501050442E-4,1.06529209621993,-1.5501050442E-4,-71.4346263141008,
1163,-1.775932033E-4,-1.2499610242E-4,1.06620808254514,-1.2499610242E-4,-57.6028695635914,
1162,-6.921356544E-5,-1.661646456E-5,1.0671256454389,-1.661646456E-5,-7.65748709061003,
1161,-2.998630516E-4,-2.4726595072E-4,1.06804478897502,-2.4726595072E-4,-113.949379469312,
1160,-1.616019144E-4,-1.0900481352E-4,1.06896551724138,-1.0900481352E-4,-50.2334867522357,
1159,-2.506591263E-4,-1.9806202542E-4,1.06988783433995,-1.9806202542E-4,-91.2743741195525,
1158,-2.099879785E-4,-1.5739087762E-4,1.07081174438687,-1.5739087762E-4,-72.5315911337841,
1157,-2.076593519E-4,-1.5506225102E-4,1.07173725151253,-1.5506225102E-4,-71.4584730788595,
1156,-2.712764763E-5,2.546945325E-5,1.07266435986159,2.546945325E-5,11.7372747230636,
1155,-1.200942861E-4,-6.749718522E-5,1.07359307359307,-6.749718522E-5,-31.1052223298374,
1154,-4.990528032E-5,2.69182056E-6,1.07452339688042,2.69182056E-6,1.24049138816559,
1153,-2.728559193E-4,-2.2025881842E-4,1.07545533391154,-2.2025881842E-4,-101.503484845044,
1152,-2.950900125E-5,2.308809963E-5,1.07638888888889,2.308809963E-5,10.6398580892495,
1151,-4.783463373E-5,4.76246715E-6,1.07732406602954,4.76246715E-6,2.19472262519479,
1150,2.15635464E-5,7.416064728E-5,1.07826086956522,7.416064728E-5,34.1759943655478,
1149,1.144174894E-5,6.403884982E-5,1.07919930374238,6.403884982E-5,29.5114922926881,
1148,3.380839189E-5,8.640549277E-5,1.0801393728223,8.640549277E-5,39.8188762149097,
1147,6.241555093E-5,1.1501265181E-4,1.08108108108108,1.1501265181E-4,53.0021228831063,
1146,-2.588589041E-6,5.0008511839E-5,1.08202443280977,5.0008511839E-5,23.0457888586958,
1145,3.984033174E-5,9.243743262E-5,1.08296943231441,9.243743262E-5,42.5986192442362,
1144,1.429140539E-4,1.9551115478E-4,1.08391608391608,1.9551115478E-4,90.098837715579,
1143,2.973762457E-4,3.4997334658E-4,1.08486439195101,3.4997334658E-4,161.280781108225,
1142,3.257935459E-4,3.7839064678E-4,1.08581436077058,3.7839064678E-4,174.376533736334,
1141,4.622846027E-4,5.1488170358E-4,1.08676599474146,5.1488170358E-4,237.27670733558,
1140,5.608968204E-4,6.1349392128E-4,1.08771929824561,6.1349392128E-4,282.720898022926,
1139,6.564981304E-4,7.0909523128E-4,1.08867427568042,7.0909523128E-4,326.777550057841,
1138,5.487925955E-4,6.0138969638E-4,1.0896309314587,6.0138969638E-4,277.1428193902,
1137,6.001665024E-4,6.5276360328E-4,1.0905892700088,6.5276360328E-4,300.817833257347,
1136,4.605743161E-4,5.1317141698E-4,1.09154929577465,5.1317141698E-4,236.488543432635,
1135,7.544024847E-4,8.0699958558E-4,1.09251101321586,8.0699958558E-4,371.895530868962,
1134,7.552063325E-4,8.0780343338E-4,1.09347442680776,8.0780343338E-4,372.265973939393,
1133,9.330777102E-4,9.8567481108E-4,1.09443954104148,9.8567481108E-4,454.235743959278,
1132,9.99493408E-4,0.00105209050888,1.09540636042403,0.00105209050888,484.842576518692,
1131,0.001076299231,0.00112889633188,1.09637488947834,0.00112889633188,520.237566589082,
1130,9.063586476E-4,9.5895574848E-4,1.09734513274336,9.5895574848E-4,441.922602605177,
1129,0.001018304378,0.00107090147888,1.09831709477414,0.00107090147888,493.511373627531,
1128,9.890374495E-4,0.00104163455038,1.09929078014184,0.00104163455038,480.024080565802,
1127,0.001091713901,0.00114431100188,1.1002661934339,0.00114431100188,527.341221888607,
1126,8.871893515E-4,9.3978645238E-4,1.101243339254,9.3978645238E-4,433.088675454681,
1125,0.001208016416,0.00126061351688,1.10222222222222,0.00126061351688,580.937761874727,
1124,0.001144008478,0.00119660557888,1.10320284697509,0.00119660557888,551.4405149025,
1123,0.001095943968,0.00114854106888,1.10418521816563,0.00114854106888,529.290594652467,
1122,0.001126853167,0.00117945026788,1.10516934046346,0.00117945026788,543.534707259511,
1121,0.001253756927,0.00130635402788,1.10615521855486,0.00130635402788,602.016696640643,
1120,0.001163889887,0.00121648698788,1.10714285714286,0.00121648698788,560.602610257436,
1119,0.001298567629,0.00135116472988,1.10813226094727,0.00135116472988,622.667140713578,
1118,0.001229484333,0.00128208143388,1.10912343470483,0.00128208143388,590.830979333603,
1117,0.001245475491,0.00129807259188,1.1101163831692,0.00129807259188,598.200301821352,
1116,0.001321675722,0.00137427282288,1.11111111111111,0.00137427282288,633.316212493989,
1115,0.001345486147,0.00139808324788,1.11210762331839,0.00139808324788,644.288945075044,
1114,0.00134631712,0.00139891422088,1.11310592459605,0.00139891422088,644.671888450102,
1113,0.001349952421,0.00140254952188,1.1141060197664,0.00140254952188,646.347170841098,
1112,0.001326609054,0.00137920615488,1.11510791366906,0.00137920615488,635.589676019716,
1111,0.001208743197,0.00126134029788,1.11611161116112,0.00126134029788,581.272689687145,
1110,0.001357586589,0.00141018368988,1.11711711711712,0.00141018368988,649.86528040625,
1109,0.001333360095,0.00138595719588,1.11812443642922,0.00138595719588,638.700807699925,
1108,0.001079023932,0.00113162103288,1.11913357400722,0.00113162103288,521.493210511285,
1107,0.001230340917,0.00128293801788,1.12014453477868,0.00128293801788,591.22572521341,
1106,0.001398928114,0.00145152521488,1.12115732368897,0.00145152521488,668.916998228085,
1105,0.00129179121,0.00134438831088,1.12217194570136,0.00134438831088,619.544313903717,
1104,0.001323415432,0.00137601253288,1.1231884057971,0.00137601253288,634.117935797903,
1103,0.001397421816,0.00145001891688,1.12420670897552,0.00145001891688,668.22283988604,
1102,0.001167705399,0.00122030249988,1.12522686025408,0.00122030249988,562.360940603736,
1101,0.001290441141,0.00134303824188,1.12624886466848,0.00134303824188,618.922151716231,
1100,0.00143902679,0.00149162389088,1.12727272727273,0.00149162389088,687.395964840496,
1099,0.001283924445,0.00133652154588,1.12829845313922,0.00133652154588,615.919014959116,
1098,0.001295452006,0.00134804910688,1.12932604735883,0.00134804910688,621.231345342332,
1097,0.00132372696,0.00137632406088,1.13035551504102,0.00137632406088,634.261499528307,
1096,0.001312925713,0.00136552281388,1.13138686131387,0.00136552281388,629.283881746478,
1095,0.001321078511,0.00137367561188,1.1324200913242,0.00137367561188,633.040995373864,
1094,0.001486947644,0.00153954474488,1.13345521023766,0.00153954474488,709.479683043666,
1093,0.001384774921,0.00143737202188,1.13449222323879,0.00143737202188,662.394678615686,
1092,0.001414510072,0.00146710717288,1.13553113553114,0.00146710717288,676.097746082153,
1091,0.0013790878,0.00143168490088,1.13657195233731,0.00143168490088,659.773840983049,
1090,0.001439857879,0.00149245497988,1.13761467889908,0.00149245497988,687.778961672684,
1089,0.001313834451,0.00136643155188,1.1386593204775,0.00136643155188,629.702662136171,
1088,0.001447519753,0.00150011685388,1.13970588235294,0.00150011685388,691.309839196783,
1087,0.00145661016,0.00150920726088,1.14075436982521,0.00150920726088,695.499038048291,
1086,0.001354184933,0.00140678203388,1.14180478821363,0.00140678203388,648.29767035222,
1085,0.001421677996,0.00147427509688,1.14285714285714,0.00147427509688,679.400993009217,
1084,0.001526067266,0.00157866436688,1.14391143911439,0.00157866436688,727.507465028991,
1083,0.001320533338,0.00137313043888,1.1449676823638,0.00137313043888,632.789759306494,
1082,0.00142284669,0.00147544379088,1.1460258780037,0.00147544379088,679.939570826752,
1081,0.001485856599,0.00153845369988,1.14708603145236,0.00153845369988,708.976888783636,
1080,0.001450999989,0.00150359708988,1.14814814814815,0.00150359708988,692.913661847867,
1079,0.001389111741,0.00144170884188,1.14921223354958,0.00144170884188,664.393247146578,
1078,0.001537912991,0.00159051009188,1.15027829313544,0.00159051009188,732.966417259104,
1077,0.001512169838,0.00156476693888,1.15134633240483,0.00156476693888,721.103011475203,
1076,0.001458921703,0.00151151880388,1.15241635687732,0.00151151880388,696.564283342679,
1075,0.001519521116,0.00157211821688,1.15348837209302,0.00157211821688,724.490754769284,
1074,0.001547498978,0.00160009607888,1.15456238361266,0.00160009607888,737.383997872489,
1073,0.001527496031,0.00158009313188,1.15563839701771,0.00158009313188,728.165893270661,
1072,0.001622323063,0.00167492016388,1.15671641791045,0.00167492016388,771.865729102698,
1071,0.001391241211,0.00144383831188,1.1577964519141,0.00144383831188,665.374586406561,
1070,0.001571113942,0.00162371104288,1.1588785046729,0.00162371104288,748.266654729022,
1069,0.001457155566,0.00150975266688,1.1599625818522,0.00150975266688,695.750381490758,
1068,0.001554902876,0.00160749997688,1.16104868913858,0.00160749997688,740.79599042665,
1067,0.00145105191,0.00150364901088,1.16213683223993,0.00150364901088,692.937588982655,
