Wellenlänge,Absorption,Absorption,Energie,Absorption,Extinktionskoeffizient,Parameter
nm,OD,OD,eV,OD,l/(mol*cm),
,TDBC_NaOH_c5_abs,TDBC_NaOH_c5_abs,,TDBC_NaOH_c5_abs,TDBC_NaOH_c5_abs,"1: M in g/mol  2: c in g/l 3: d in cm  "
1200,-0.00219722488,0,1.03333333333333,0,0,762.53
1199,-0.002099652542,9.75723380000001E-5,1.03419516263553,9.75723380000001E-5,449.64975307337,3.81E-4
1198,-0.001982062822,2.15162058E-4,1.03505843071786,2.15162058E-4,991.547074032991,1
1197,-0.001823972678,3.73252202E-4,1.0359231411863,3.73252202E-4,1720.08546585602,--
1196,-0.001909803133,2.87421747E-4,1.03678929765886,2.87421747E-4,1324.54669238802,--
1195,-0.001661595772,5.35629108E-4,1.03765690376569,5.35629108E-4,2468.37885703947,--
1194,-0.001588921528,6.08303352E-4,1.03852596314908,6.08303352E-4,2803.28889957011,--
1193,-0.001515874057,6.81350823E-4,1.03939647946354,6.81350823E-4,3139.91891142638,--
1192,-0.001527017681,6.70207199E-4,1.04026845637584,6.70207199E-4,3088.56493259744,--
1191,-0.001308684587,8.88540293E-4,1.04114189756507,8.88540293E-4,4094.72532413018,--
1190,-0.001328865997,8.68358883E-4,1.04201680672269,8.68358883E-4,4001.7218539953,--
1189,-0.001216178527,9.81046353E-4,1.04289318755257,9.81046353E-4,4521.02777715523,--
1188,-0.001137130195,0.001060094685,1.04377104377104,0.001060094685,4885.31199636357,--
1187,-9.765624418E-4,0.0012206624382,1.04465037910699,0.0012206624382,5625.26813616546,--
1186,-9.221656364E-4,0.0012750592436,1.04553119730186,0.0012750592436,5875.9489194433,--
1185,-5.88093244E-4,0.001609131636,1.0464135021097,0.001609131636,7415.47919851983,--
1184,-4.998808727E-4,0.0016973440073,1.0472972972973,0.0016973440073,7821.99473136544,--
1183,-6.126509397E-4,0.0015845739403,1.04818258664413,0.0015845739403,7302.30817039959,--
1182,-4.062196531E-4,0.0017910052269,1.04906937394247,0.0017910052269,8253.62059099883,--
1181,-2.243733761E-4,0.0019728515039,1.04995766299746,0.0019728515039,9091.63611083153,--
1180,-1.403310453E-4,0.0020568938347,1.05084745762712,0.0020568938347,9478.93454055585,--
1179,1.743252069E-4,0.0023715500869,1.05173876166243,0.0023715500869,10928.9879983783,--
1178,2.506743767E-4,0.0024478992567,1.05263157894737,0.0024478992567,11280.8334706875,--
1177,3.159496118E-4,0.0025131744918,1.053525913339,0.0025131744918,11581.6461184743,--
1176,4.096055636E-4,0.0026068304436,1.05442176870748,0.0026068304436,12013.247702119,--
1175,6.832018844E-4,0.0028804267644,1.05531914893617,0.0028804267644,13274.0816701388,--
1174,8.275080472E-4,0.0030247329272,1.05621805792164,0.0030247329272,13939.0983316231,--
1173,9.357237723E-4,0.0031329486523,1.05711849957374,0.0031329486523,14437.7967851733,--
1172,0.001136196428,0.003333421308,1.0580204778157,0.003333421308,15361.6496104839,--
1171,0.001179904793,0.003377129673,1.05892399658412,0.003377129673,15563.0740708621,--
1170,0.001425989089,0.003623213969,1.05982905982906,0.003623213969,16697.1223595445,--
1169,0.001658284804,0.003855509684,1.06073567151411,0.003855509684,17767.6277202928,--
1168,0.001774115488,0.003971340368,1.06164383561644,0.003971340368,18301.4187467918,--
1167,0.001845781109,0.004043005989,1.06255355612682,0.004043005989,18631.6806780627,--
1166,0.00214091246,0.00433813734,1.06346483704974,0.00433813734,19991.7561033473,--
1165,0.00221386156,0.00441108644,1.06437768240343,0.00441108644,20327.9327849179,--
1164,0.002429242013,0.004626466893,1.06529209621993,0.004626466893,21320.4863046283,--
1163,0.002393034287,0.004590259167,1.06620808254514,0.004590259167,21153.627588429,--
1162,0.002767753089,0.004964977969,1.0671256454389,0.004964977969,22880.4716945039,--
1161,0.002859776607,0.005057001487,1.06804478897502,0.005057001487,23304.5504138807,--
1160,0.003096464556,0.005293689436,1.06896551724138,0.005293689436,24395.2968283337,--
1159,0.003243035404,0.005440260284,1.06988783433995,0.005440260284,25070.7500045295,--
1158,0.003380759619,0.005577984499,1.07081174438687,0.005577984499,25705.4345937927,--
1157,0.003630391788,0.005827616668,1.07173725151253,0.005827616668,26855.8328055278,--
1156,0.003738551168,0.005935776048,1.07266435986159,0.005935776048,27354.2715998259,--
1155,0.003629321465,0.005826546345,1.07359307359307,0.005826546345,26850.9003576381,--
1154,0.003640493844,0.005837718724,1.07452339688042,0.005837718724,26902.3868502401,--
1153,0.003888499225,0.006085724105,1.07545533391154,0.006085724105,28045.2882156611,--
1152,0.003824330168,0.006021555048,1.07638888888889,0.006021555048,27749.573249448,--
1151,0.003687666031,0.005884890911,1.07732406602954,0.005884890911,27119.7738952905,--
1150,0.00391830178,0.00611552666,1.07826086956522,0.00611552666,28182.6295131168,--
1149,0.003727950621,0.005925175501,1.07919930374238,0.005925175501,27305.4203225204,--
1148,0.00364360027,0.00584082515,1.0801393728223,0.00584082515,26916.7024207437,--
1147,0.003545590444,0.005742815324,1.08108108108108,0.005742815324,26465.0365596708,--
1146,0.003403978888,0.005601203768,1.08202443280977,0.005601203768,25812.437652102,--
1145,0.003318308853,0.005515533733,1.08296943231441,0.005515533733,25417.6381538719,--
1144,0.003359446069,0.005556670949,1.08391608391608,0.005556670949,25607.2137999585,--
1143,0.003283878788,0.005481103668,1.08486439195101,0.005481103668,25258.9715630852,--
1142,0.003023132449,0.005220357329,1.08581436077058,0.005220357329,24057.355107547,--
1141,0.002998552285,0.005195777165,1.08676599474146,0.005195777165,23944.0805371139,--
