TITLE;NaOH_1mmK_em
DATA TYPE;FLUORESCENCE SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;14/03/18
TIME;15:13:25
SPECTROMETER/DATA SYSTEM;
LOCALE;1031
RESOLUTION;
DELTAX;1
XUNITS;NANOMETERS
YUNITS;INTENSITY
FIRSTX;  570,0000
LASTX;  900,0000
NPOINTS;     331
FIRSTY;    20,49974
MAXY;    37,29877
MINY;   -12,80778
XYDATA
825,0000;-4,27947
826,0000;-3,94037
827,0000;-4,56849
828,0000;-4,12224
829,0000;-4,71782
830,0000;-4,22448
831,0000;-5,52767
832,0000;-4,62815
833,0000;-5,00852
834,0000;-4,8415
835,0000;-5,26647
836,0000;-5,08649
837,0000;-5,3419
838,0000;-5,327
839,0000;-5,67946
840,0000;-5,65552
841,0000;-5,76441
842,0000;-6,20541
843,0000;-6,20883
844,0000;-7,20043
845,0000;-5,55064
846,0000;-5,89759
847,0000;-6,70459
848,0000;-6,20096
849,0000;-5,62638
850,0000;-7,1452
851,0000;-4,88422
852,0000;-7,17719
853,0000;-6,91079
854,0000;-5,91915
855,0000;-5,41229
856,0000;-6,03327
857,0000;-6,70973
858,0000;-7,29788
859,0000;-8,16543
860,0000;-7,59205
861,0000;-6,94107
862,0000;-7,54155
863,0000;-8,04873
864,0000;-7,36023
865,0000;-8,5529
866,0000;-9,10382
867,0000;-9,12229
868,0000;-9,45691
869,0000;-9,11044
870,0000;-7,89619
871,0000;-8,86573
872,0000;-8,76671
873,0000;-9,06668
874,0000;-9,51188
875,0000;-9,52645
876,0000;-10,7671
877,0000;-10,0424
878,0000;-9,87431
879,0000;-9,09532
880,0000;-9,9589
881,0000;-8,84369
882,0000;-9,28626
883,0000;-9,30785
884,0000;-10,8402
885,0000;-10,0794
886,0000;-9,02761
887,0000;-10,9779
888,0000;-8,39775
889,0000;-9,27539
890,0000;-9,64524
891,0000;-8,87333
892,0000;-10,1073
893,0000;-9,2559
894,0000;-9,69569
895,0000;-10,6326
896,0000;-9,35517
897,0000;-12,7231
898,0000;-12,0318
899,0000;-8,95876
900,0000;-12,8078

##### Extended Information
[Comments]
Sample name;NaOH_1mmK_em
Comment
User
Division
Company;Microsoft

[Detailed Information]
Creation date;18.03.2014 15:13

Data array type;Linear data array
Horizontal axis;Wavelength [nm]
Vertical axis;Int.
Start;570 nm
End;900 nm
Data interval;1 nm
Data points;331     

[Measurement Information]
Model name;FP-8600
Serial No.;C003561454
  Ex filter holder;None
  Em filter holder;None

Accessory;SCE-846
Accessory S/N;C002561454

Accessory;FDP-837
Accessory S/N;
  Polarizer;Ex 0 degree, Em 0 degree

Measurement date;18.03.2014 15:13

Mode;Emission
Ex bandwidth;5 nm
Em bandwidth;5 nm
Response;0.5 sec
Sensitivity;Low
Measurement range;570 - 900 nm
Data interval;1 nm
Ex wavelength;560.0 nm
Scan speed;100 nm/min
Auto gain;Off
Shutter control;Open only for measurement
Light source;Xe lamp
Filter;Stop scan for exchanging filter
Blank correction;Off
Spectral correction;On
Ex correction data;Ex-PL-Wlamp-P0deg_5nm
Em correction data;Em_Hal-lamp_P0deg_5nm

